year,region,country,country_label,poe,state,total_arrivals,male_arrivals,female_arrivals
2023,Asia,JOR,Jordan,LTA Bayan Lepas,Pulau_Pinang,86,58,28
2023,Asia,OMN,Oman,Sungai Tujuh,Sarawak,86,47,39
2023,Asia,PAK,Pakistan,Stulang Laut,Johor,86,83,3
2023,Asia,HKG,Hong Kong,Pelabuhan Klang Barat - KMT,Selangor,85,33,52
2023,Asia,PHL,Philippines,Wang Kelian,Perlis,85,22,63
2023,Asia,BGD,Bangladesh,Dermaga Labuan,Labuan,84,79,5
2023,Asia,PHL,Philippines,LTA Kuantan,Pahang,84,47,37
2023,Asia,ARE,United Arab Emirates,Gelang Patah,Johor,83,41,42
2023,Asia,IRN,Iran,LTA Bayan Lepas,Pulau_Pinang,83,43,40
2023,Asia,LKA,Sri Lanka,LTA Kota Kinabalu,Sabah,83,55,28
2023,Asia,SAU,Saudi Arabia,Woodlands Train Checkpoint,Singapore,82,30,52
2023,Asia,KHM,Cambodia,Pengkalan Hulu (Bukit Berapit),Perak,81,25,56
2023,Asia,QAT,Qatar,Bangunan Sultan Iskandar,Johor,81,44,37
2023,Asia,JOR,Jordan,Bangunan Sultan Iskandar,Johor,80,43,37
2023,Asia,THA,Thailand,Pelabuhan Klang Utara,Selangor,80,36,44
2023,Asia,IND,India,Terminal Feri Puteri Harbour,Johor,79,72,7
2023,Asia,JPN,Japan,Pandaruan,Sarawak,78,43,35
2023,Asia,CHN,China,Wang Kelian,Perlis,76,35,41
2023,Asia,MMR,Myanmar,Tedungan,Sarawak,76,31,45
2023,Asia,YEM,Yemen,Gelang Patah,Johor,76,56,20
2023,Asia,THA,Thailand,Dermaga Labuan,Labuan,75,28,47
2023,Asia,TLS,Timor-Leste,LTA Bayan Lepas,Pulau_Pinang,75,37,38
2023,Asia,PAK,Pakistan,LTA Kota Kinabalu,Sabah,74,60,14
2023,Asia,PAK,Pakistan,LTA Subang Terminal 3,Selangor,74,51,23
2023,Asia,PHL,Philippines,Pelabuhan Kuantan,Pahang,74,74,0
2023,Asia,RUS,Russian Federation,Dermaga Labuan,Labuan,74,44,30
2023,Asia,RUS,Russian Federation,Pos Imigresen Mengkalap,Sarawak,74,30,44
2023,Asia,BRN,Brunei Darussalam,Stulang Laut,Johor,73,49,24
2023,Asia,JOR,Jordan,Gelang Patah,Johor,73,48,25
2023,Asia,RUS,Russian Federation,Pengkalan Kubur,Kelantan,73,40,33
2023,Asia,SAU,Saudi Arabia,Rantau Panjang,Kelantan,73,38,35
2023,Asia,UZB,Uzbekistan,Bukit Kayu Hitam,Kedah,72,37,35
2023,Asia,VNM,Vietnam,Wang Kelian,Perlis,72,25,47
2023,Asia,KOR,Korea,LT Miri,Sarawak,71,34,37
2023,Asia,VNM,Vietnam,LT Miri,Sarawak,70,23,47
