country,country_label,poe,state,total_arrivals
DZA,Algeria,Woodlands Train Checkpoint,Singapore,31
ECU,Ecuador,Bangunan Sultan Iskandar,Johor,94
ECU,Ecuador,Bukit Kayu Hitam,Kedah,8
ECU,Ecuador,Gelang Patah,Johor,127
ECU,Ecuador,Jeti Kuah Langkawi,Kedah,3
ECU,Ecuador,LTA Bayan Lepas,Pulau_Pinang,29
ECU,Ecuador,LTA Ipoh,Perak,2
ECU,Ecuador,LTA Kota Kinabalu,Sabah,10
ECU,Ecuador,LTA Kuala Lumpur Terminal 1,Selangor,610
ECU,Ecuador,LTA Kuala Lumpur Terminal 2,Selangor,680
ECU,Ecuador,LTA Kuching,Sarawak,5
ECU,Ecuador,LTA Langkawi,Kedah,14
ECU,Ecuador,LTA Subang Terminal 3,Selangor,1
ECU,Ecuador,Padang Besar,Perlis,2
ECU,Ecuador,Pejabat Imigresen Desaru Coast,Johor,2
ECU,Ecuador,Pelabuhan Klang Barat - SCT,Selangor,1
ECU,Ecuador,Sungai Tujuh,Sarawak,13
ECU,Ecuador,Tanjung Belungkor,Johor,1
ECU,Ecuador,Tanjung Pengelih,Johor,1
ECU,Ecuador,Telaga Harbour Park,Kedah,3
ECU,Ecuador,Woodlands Train Checkpoint,Singapore,1
EGY,Egypt,Bangunan Sultan Iskandar,Johor,2896
EGY,Egypt,Biawak,Sarawak,7
EGY,Egypt,Bukit Kayu Hitam,Kedah,55
EGY,Egypt,Dermaga Labuan,Labuan,7
EGY,Egypt,Dermaga Tawau,Sabah,1
EGY,Egypt,Gelang Patah,Johor,946
EGY,Egypt,Jeti Kuah Langkawi,Kedah,1
EGY,Egypt,Jeti Pasir Gudang,Johor,22
EGY,Egypt,LT Bintulu,Sarawak,1
EGY,Egypt,LT Miri,Sarawak,19
EGY,Egypt,LT Tawau,Sabah,3
EGY,Egypt,LTA Bayan Lepas,Pulau_Pinang,187
EGY,Egypt,LTA Ipoh,Perak,2
EGY,Egypt,LTA Kota Kinabalu,Sabah,79
EGY,Egypt,LTA Kuala Lumpur Terminal 1,Selangor,32739
EGY,Egypt,LTA Kuala Lumpur Terminal 2,Selangor,6415
EGY,Egypt,LTA Kuching,Sarawak,16
EGY,Egypt,LTA Langkawi,Kedah,99
EGY,Egypt,LTA Subang Terminal 3,Selangor,22
EGY,Egypt,LTA Sultan Ismail Senai,Johor,22
EGY,Egypt,Padang Besar,Perlis,14
EGY,Egypt,Pandaruan,Sarawak,10
EGY,Egypt,Pasir Gudang,Johor,3
EGY,Egypt,Pejabat Imigresen Desaru Coast,Johor,4
EGY,Egypt,Pejabat Imigresen Port Swettenham,Selangor,1
EGY,Egypt,Pelabuhan Kemaman,Terengganu,2
EGY,Egypt,Pelabuhan Klang Barat - KMT,Selangor,2
EGY,Egypt,Pelabuhan Klang Barat - SCT,Selangor,8
EGY,Egypt,Pelabuhan Kuantan,Pahang,2
EGY,Egypt,Pelabuhan Melaka,Melaka,7
EGY,Egypt,Pelabuhan Tanjung Pelepas,Johor,22
EGY,Egypt,Pengkalan Hulu (Bukit Berapit),Perak,4
EGY,Egypt,Pengkalan Kubur,Kelantan,6
EGY,Egypt,Pos Imigresen Mengkalap,Sarawak,213
EGY,Egypt,Pos Kawalan Imigresen Muar,Johor,1
EGY,Egypt,Rantau Panjang,Kelantan,26
EGY,Egypt,Roro Labuan,Labuan,5
EGY,Egypt,Stulang Laut,Johor,116
EGY,Egypt,Sungai Tujuh,Sarawak,1632
EGY,Egypt,Tanjung Belungkor,Johor,1
EGY,Egypt,Tanjung Pengelih,Johor,7
EGY,Egypt,Tebedu,Sarawak,7
EGY,Egypt,Tedungan,Sarawak,14
EGY,Egypt,Telaga Harbour Park,Kedah,7
EGY,Egypt,Terminal Feri Puteri Harbour,Johor,65
EGY,Egypt,Wang Kelian,Perlis,8
EGY,Egypt,Woodlands Train Checkpoint,Singapore,102
ERI,Eritrea,Bangunan Sultan Iskandar,Johor,5
ERI,Eritrea,Gelang Patah,Johor,4
ERI,Eritrea,LTA Bayan Lepas,Pulau_Pinang,2
ERI,Eritrea,LTA Kota Kinabalu,Sabah,2
ERI,Eritrea,LTA Kuala Lumpur Terminal 1,Selangor,332
ERI,Eritrea,LTA Kuala Lumpur Terminal 2,Selangor,50
ERI,Eritrea,Pelabuhan Klang Barat - SCT,Selangor,1
ESP,Spain,Bangunan Sultan Iskandar,Johor,4203
ESP,Spain,Biawak,Sarawak,3
ESP,Spain,Bukit Kayu Hitam,Kedah,664
ESP,Spain,Dermaga Kota Kinabalu,Sabah,2
ESP,Spain,Dermaga Labuan,Labuan,44
ESP,Spain,Dermaga Tawau,Sabah,10
ESP,Spain,Gelang Patah,Johor,6153
ESP,Spain,Jeti Kuah Langkawi,Kedah,666
ESP,Spain,Jeti Pasir Gudang,Johor,3
ESP,Spain,Jeti Port Dickson,Negeri_Sembilan,4
ESP,Spain,Jeti Tioman,Pahang,1
ESP,Spain,LT Miri,Sarawak,39
ESP,Spain,LT Sandakan,Sabah,40
ESP,Spain,LT Sibu,Sarawak,2
ESP,Spain,LT Tawau,Sabah,8
ESP,Spain,LTA Bayan Lepas,Pulau_Pinang,2295
ESP,Spain,LTA Ipoh,Perak,117
ESP,Spain,LTA Kota Kinabalu,Sabah,674
ESP,Spain,LTA Kuala Lumpur Terminal 1,Selangor,36754
ESP,Spain,LTA Kuala Lumpur Terminal 2,Selangor,22530
ESP,Spain,LTA Kuantan,Pahang,9
ESP,Spain,LTA Kuching,Sarawak,749
ESP,Spain,LTA Langkawi,Kedah,881
ESP,Spain,LTA Subang Terminal 3,Selangor,387
ESP,Spain,LTA Sultan Ismail,Kelantan,7
ESP,Spain,LTA Sultan Ismail Senai,Johor,118
ESP,Spain,Padang Besar,Perlis,330
ESP,Spain,Pandaruan,Sarawak,14
ESP,Spain,Pasir Gudang,Johor,2
ESP,Spain,Pejabat Imigresen Desaru Coast,Johor,86
ESP,Spain,Pejabat Imigresen Port Swettenham,Selangor,7
ESP,Spain,Pelabuhan Klang Barat - KMT,Selangor,26
ESP,Spain,Pelabuhan Klang Barat - SCT,Selangor,98
ESP,Spain,Pelabuhan Klang Utara,Selangor,1
ESP,Spain,Pelabuhan Melaka,Melaka,13
ESP,Spain,Pengkalan Hulu (Bukit Berapit),Perak,3
ESP,Spain,Pengkalan Kubur,Kelantan,5
ESP,Spain,Pos Imigresen Bukit Bunga,Kelantan,6
ESP,Spain,Pos Imigresen Mengkalap,Sarawak,36
ESP,Spain,Rantau Panjang,Kelantan,101
ESP,Spain,Roro Labuan,Labuan,9
ESP,Spain,Stulang Laut,Johor,24
ESP,Spain,Sungai Tujuh,Sarawak,177
ESP,Spain,Tanjung Belungkor,Johor,11
ESP,Spain,Tanjung Pengelih,Johor,32
ESP,Spain,Tebedu,Sarawak,20
ESP,Spain,Tedungan,Sarawak,35
ESP,Spain,Telaga Harbour Park,Kedah,903
ESP,Spain,Terminal Feri Puteri Harbour,Johor,11
ESP,Spain,Wang Kelian,Perlis,95
ESP,Spain,Woodlands Train Checkpoint,Singapore,169
EST,Estonia,Bangunan Sultan Iskandar,Johor,294
EST,Estonia,Bukit Kayu Hitam,Kedah,39
EST,Estonia,Dermaga Kota Kinabalu,Sabah,2
EST,Estonia,Dermaga Labuan,Labuan,10
EST,Estonia,Gelang Patah,Johor,364
EST,Estonia,Jeti Kuah Langkawi,Kedah,156
EST,Estonia,Jeti Tioman,Pahang,1
EST,Estonia,LT Miri,Sarawak,5
EST,Estonia,LT Sandakan,Sabah,8
EST,Estonia,LTA Bayan Lepas,Pulau_Pinang,156
EST,Estonia,LTA Ipoh,Perak,5
EST,Estonia,LTA Kota Kinabalu,Sabah,61
EST,Estonia,LTA Kuala Lumpur Terminal 1,Selangor,2134
EST,Estonia,LTA Kuala Lumpur Terminal 2,Selangor,1337
EST,Estonia,LTA Kuching,Sarawak,37
EST,Estonia,LTA Langkawi,Kedah,237
EST,Estonia,LTA Subang Terminal 3,Selangor,29
EST,Estonia,LTA Sultan Ismail,Kelantan,1
EST,Estonia,LTA Sultan Ismail Senai,Johor,1
EST,Estonia,Padang Besar,Perlis,20
EST,Estonia,Pandaruan,Sarawak,4
EST,Estonia,Pejabat Imigresen Desaru Coast,Johor,2
EST,Estonia,Pelabuhan Klang Barat - KMT,Selangor,5
EST,Estonia,Pelabuhan Klang Barat - SCT,Selangor,2
EST,Estonia,Pelabuhan Tanjung Pelepas,Johor,3
EST,Estonia,Pengkalan Hulu (Bukit Berapit),Perak,1
EST,Estonia,Pengkalan Kubur,Kelantan,7
EST,Estonia,Pos Imigresen Mengkalap,Sarawak,23
EST,Estonia,Roro Labuan,Labuan,1
EST,Estonia,Sungai Tujuh,Sarawak,17
EST,Estonia,Tedungan,Sarawak,2
EST,Estonia,Telaga Harbour Park,Kedah,283
EST,Estonia,Terminal Feri Puteri Harbour,Johor,3
EST,Estonia,Wang Kelian,Perlis,19
EST,Estonia,Woodlands Train Checkpoint,Singapore,6
ETH,Ethiopia,Bangunan Sultan Iskandar,Johor,18
ETH,Ethiopia,Gelang Patah,Johor,15
ETH,Ethiopia,LTA Bayan Lepas,Pulau_Pinang,6
ETH,Ethiopia,LTA Kuala Lumpur Terminal 1,Selangor,736
ETH,Ethiopia,LTA Kuala Lumpur Terminal 2,Selangor,98
ETH,Ethiopia,LTA Kuching,Sarawak,7
ETH,Ethiopia,LTA Langkawi,Kedah,1
ETH,Ethiopia,Pelabuhan Klang Barat - SCT,Selangor,2
ETH,Ethiopia,Pelabuhan Tanjung Pelepas,Johor,18
ETH,Ethiopia,Sungai Tujuh,Sarawak,1
FIN,Finland,Bangunan Sultan Iskandar,Johor,1592
FIN,Finland,Bukit Kayu Hitam,Kedah,187
FIN,Finland,Dermaga Labuan,Labuan,19
FIN,Finland,Dermaga Sandakan,Sabah,2
FIN,Finland,Gelang Patah,Johor,1967
FIN,Finland,Jeti Kuah Langkawi,Kedah,390
FIN,Finland,Jeti Pasir Gudang,Johor,3
FIN,Finland,Jeti Port Dickson,Negeri_Sembilan,3
FIN,Finland,Jeti Tioman,Pahang,4
FIN,Finland,LT Miri,Sarawak,5
FIN,Finland,LT Sibu,Sarawak,8
FIN,Finland,LT Tawau,Sabah,1
FIN,Finland,LTA Bayan Lepas,Pulau_Pinang,991
FIN,Finland,LTA Ipoh,Perak,48
FIN,Finland,LTA Kota Kinabalu,Sabah,271
FIN,Finland,LTA Kuala Lumpur Terminal 1,Selangor,7911
FIN,Finland,LTA Kuala Lumpur Terminal 2,Selangor,3994
FIN,Finland,LTA Kuching,Sarawak,101
FIN,Finland,LTA Langkawi,Kedah,1043
FIN,Finland,LTA Subang Terminal 3,Selangor,54
FIN,Finland,LTA Sultan Ismail,Kelantan,2
FIN,Finland,LTA Sultan Ismail Senai,Johor,27
FIN,Finland,Padang Besar,Perlis,114
FIN,Finland,Pandaruan,Sarawak,10
FIN,Finland,Pasir Gudang,Johor,4
FIN,Finland,Pejabat Imigresen Desaru Coast,Johor,32
FIN,Finland,Pelabuhan Klang Barat - KMT,Selangor,17
FIN,Finland,Pelabuhan Klang Barat - SCT,Selangor,14
FIN,Finland,Pelabuhan Klang Utara,Selangor,7
FIN,Finland,Pelabuhan Kuching,Sarawak,2
FIN,Finland,Pelabuhan Melaka,Melaka,2
FIN,Finland,Pelabuhan Tanjung Pelepas,Johor,2
FIN,Finland,Pengkalan Hulu (Bukit Berapit),Perak,16
FIN,Finland,Pengkalan Kubur,Kelantan,3
FIN,Finland,Pos Imigresen Mengkalap,Sarawak,16
FIN,Finland,Rantau Panjang,Kelantan,18
FIN,Finland,Roro Labuan,Labuan,1
FIN,Finland,Stulang Laut,Johor,16
FIN,Finland,Sungai Tujuh,Sarawak,57
FIN,Finland,Tanjung Belungkor,Johor,10
FIN,Finland,Tanjung Lembung,Kedah,2
FIN,Finland,Tanjung Pengelih,Johor,9
FIN,Finland,Tebedu,Sarawak,4
FIN,Finland,Tedungan,Sarawak,23
FIN,Finland,Telaga Harbour Park,Kedah,544
FIN,Finland,Terminal Feri Puteri Harbour,Johor,6
FIN,Finland,Wang Kelian,Perlis,32
FIN,Finland,Woodlands Train Checkpoint,Singapore,55
FJI,Fiji,Bangunan Sultan Iskandar,Johor,445
FJI,Fiji,Bukit Kayu Hitam,Kedah,10
FJI,Fiji,Gelang Patah,Johor,682
FJI,Fiji,Jeti Kuah Langkawi,Kedah,12
FJI,Fiji,LT Miri,Sarawak,2
FJI,Fiji,LTA Bayan Lepas,Pulau_Pinang,57
FJI,Fiji,LTA Ipoh,Perak,7
FJI,Fiji,LTA Kota Kinabalu,Sabah,16
FJI,Fiji,LTA Kuala Lumpur Terminal 1,Selangor,1324
FJI,Fiji,LTA Kuala Lumpur Terminal 2,Selangor,862
FJI,Fiji,LTA Kuching,Sarawak,10
FJI,Fiji,LTA Langkawi,Kedah,7
FJI,Fiji,LTA Subang Terminal 3,Selangor,6
FJI,Fiji,LTA Sultan Ismail Senai,Johor,2
FJI,Fiji,Padang Besar,Perlis,4
FJI,Fiji,Pejabat Imigresen Desaru Coast,Johor,4
FJI,Fiji,Pelabuhan Klang Barat - SCT,Selangor,15
FJI,Fiji,Pos Imigresen Mengkalap,Sarawak,1
FJI,Fiji,Rantau Panjang,Kelantan,1
FJI,Fiji,Stulang Laut,Johor,7
FJI,Fiji,Sungai Tujuh,Sarawak,17
FJI,Fiji,Wang Kelian,Perlis,5
FJI,Fiji,Woodlands Train Checkpoint,Singapore,17
FRA,France,Bangunan Sultan Iskandar,Johor,19712
FRA,France,Biawak,Sarawak,4
FRA,France,Bukit Kayu Hitam,Kedah,2209
FRA,France,Dermaga Kota Kinabalu,Sabah,10
FRA,France,Dermaga Labuan,Labuan,52
FRA,France,Dermaga Tawau,Sabah,23
FRA,France,Gelang Patah,Johor,20659
FRA,France,ICQ Durian Burung,Kedah,3
FRA,France,ICQS Kudat,Sabah,22
FRA,France,Jeti Kuah Langkawi,Kedah,2287
FRA,France,Jeti Pasir Gudang,Johor,17
FRA,France,Jeti Port Dickson,Negeri_Sembilan,36
FRA,France,Jeti Tioman,Pahang,23
FRA,France,LT Batu Berendam,Melaka,4
FRA,France,LT Bintulu,Sarawak,6
FRA,France,LT Labuan,Labuan,1
FRA,France,LT Miri,Sarawak,164
FRA,France,LT Sandakan,Sabah,32
FRA,France,LT Sibu,Sarawak,2
FRA,France,LT Tawau,Sabah,30
FRA,France,LTA Bayan Lepas,Pulau_Pinang,7864
FRA,France,LTA Ipoh,Perak,501
FRA,France,LTA Kota Kinabalu,Sabah,2117
FRA,France,LTA Kuala Lumpur Terminal 1,Selangor,107041
FRA,France,LTA Kuala Lumpur Terminal 2,Selangor,58922
FRA,France,LTA Kuala Terengganu,Terengganu,4
FRA,France,LTA Kuantan,Pahang,233
FRA,France,LTA Kuching,Sarawak,1510
FRA,France,LTA Langkawi,Kedah,4126
FRA,France,LTA Subang Terminal 3,Selangor,1600
FRA,France,LTA Sultan Ismail,Kelantan,43
FRA,France,LTA Sultan Ismail Senai,Johor,249
FRA,France,Lubok Antu,Sarawak,4
FRA,France,Lumut,Perak,10
FRA,France,Padang Besar,Perlis,1262
FRA,France,Pandaruan,Sarawak,41
FRA,France,Pasir Gudang,Johor,24
FRA,France,Pejabat Imigresen Desaru Coast,Johor,466
FRA,France,Pejabat Imigresen Port Swettenham,Selangor,20
FRA,France,Pelabuhan Kemaman,Terengganu,2
FRA,France,Pelabuhan Klang Barat - KMT,Selangor,60
FRA,France,Pelabuhan Klang Barat - SCT,Selangor,134
FRA,France,Pelabuhan Klang Selatan - Jeti,Selangor,1
FRA,France,Pelabuhan Klang Utara,Selangor,7
FRA,France,Pelabuhan Melaka,Melaka,64
FRA,France,Pelabuhan Tanjung Pelepas,Johor,6
FRA,France,Pengkalan Hulu (Bukit Berapit),Perak,55
FRA,France,Pengkalan Kubur,Kelantan,63
FRA,France,Pos Imigresen Mengkalap,Sarawak,111
FRA,France,Rantau Panjang,Kelantan,372
FRA,France,Roro Labuan,Labuan,22
FRA,France,Stulang Laut,Johor,121
FRA,France,Sungai Tujuh,Sarawak,393
FRA,France,Tanjung Belungkor,Johor,80
FRA,France,Tanjung Lembung,Kedah,1
FRA,France,Tanjung Pengelih,Johor,202
FRA,France,Tebedu,Sarawak,39
FRA,France,Tedungan,Sarawak,114
FRA,France,Telaga Harbour Park,Kedah,2402
FRA,France,Terminal Feri Puteri Harbour,Johor,45
FRA,France,Wang Kelian,Perlis,448
FRA,France,Woodlands Train Checkpoint,Singapore,771
FSM,Micronesia,Gelang Patah,Johor,1
FSM,Micronesia,LTA Bayan Lepas,Pulau_Pinang,1
FSM,Micronesia,LTA Kuala Lumpur Terminal 1,Selangor,18
GAB,Gabon,Bangunan Sultan Iskandar,Johor,22
GAB,Gabon,Gelang Patah,Johor,10
GAB,Gabon,LT Sibu,Sarawak,1
GAB,Gabon,LTA Bayan Lepas,Pulau_Pinang,1
GAB,Gabon,LTA Kuala Lumpur Terminal 1,Selangor,162
GAB,Gabon,LTA Kuala Lumpur Terminal 2,Selangor,21
GAB,Gabon,Pejabat Imigresen Desaru Coast,Johor,1
GBR,United Kingdom,Bangunan Sultan Iskandar,Johor,34280
GBR,United Kingdom,Biawak,Sarawak,23
GBR,United Kingdom,Bukit Kayu Hitam,Kedah,4149
GBR,United Kingdom,Dermaga Kota Kinabalu,Sabah,45
GBR,United Kingdom,Dermaga Labuan,Labuan,750
GBR,United Kingdom,Dermaga Tawau,Sabah,27
GBR,United Kingdom,Gelang Patah,Johor,54700
GBR,United Kingdom,ICQ Durian Burung,Kedah,17
GBR,United Kingdom,ICQS Kudat,Sabah,6
GBR,United Kingdom,Jeti Kuah Langkawi,Kedah,3070
GBR,United Kingdom,Jeti Kukup,Johor,2
GBR,United Kingdom,Jeti Menumbok,Sabah,1
GBR,United Kingdom,Jeti Pasir Gudang,Johor,45
GBR,United Kingdom,Jeti Port Dickson,Negeri_Sembilan,13
GBR,United Kingdom,Jeti Tioman,Pahang,108
GBR,United Kingdom,LT Batu Berendam,Melaka,14
GBR,United Kingdom,LT Bintulu,Sarawak,35
GBR,United Kingdom,LT Labuan,Labuan,4
GBR,United Kingdom,LT Miri,Sarawak,1094
GBR,United Kingdom,LT Sandakan,Sabah,313
GBR,United Kingdom,LT Sibu,Sarawak,40
GBR,United Kingdom,LT Tawau,Sabah,96
GBR,United Kingdom,LTA Bayan Lepas,Pulau_Pinang,28774
GBR,United Kingdom,LTA Ipoh,Perak,1630
GBR,United Kingdom,LTA Kota Kinabalu,Sabah,8878
GBR,United Kingdom,LTA Kuala Lumpur Terminal 1,Selangor,249742
GBR,United Kingdom,LTA Kuala Lumpur Terminal 2,Selangor,97046
GBR,United Kingdom,LTA Kuantan,Pahang,180
GBR,United Kingdom,LTA Kuching,Sarawak,3505
GBR,United Kingdom,LTA Langkawi,Kedah,11567
GBR,United Kingdom,LTA Subang Terminal 3,Selangor,3706
GBR,United Kingdom,LTA Sultan Ismail,Kelantan,9
GBR,United Kingdom,LTA Sultan Ismail Senai,Johor,1015
GBR,United Kingdom,Linggi,Melaka,1
GBR,United Kingdom,Lubok Antu,Sarawak,2
GBR,United Kingdom,Lumut,Perak,10
GBR,United Kingdom,Merapok,Sabah,5
GBR,United Kingdom,Padang Besar,Perlis,2385
GBR,United Kingdom,Pandaruan,Sarawak,266
GBR,United Kingdom,Pasir Gudang,Johor,110
GBR,United Kingdom,Pejabat Imigresen Desaru Coast,Johor,1045
GBR,United Kingdom,Pejabat Imigresen Port Swettenham,Selangor,43
GBR,United Kingdom,Pelabuhan Kemaman,Terengganu,10
GBR,United Kingdom,Pelabuhan Klang Barat - KMT,Selangor,304
GBR,United Kingdom,Pelabuhan Klang Barat - SCT,Selangor,861
GBR,United Kingdom,Pelabuhan Klang Selatan - Jeti,Selangor,4
GBR,United Kingdom,Pelabuhan Klang Utara,Selangor,27
GBR,United Kingdom,Pelabuhan Kuantan,Pahang,10
GBR,United Kingdom,Pelabuhan Kuching,Sarawak,6
GBR,United Kingdom,Pelabuhan Melaka,Melaka,37
GBR,United Kingdom,Pelabuhan Tanjung Pelepas,Johor,44
GBR,United Kingdom,Pengkalan Hulu (Bukit Berapit),Perak,277
GBR,United Kingdom,Pengkalan Kubur,Kelantan,38
GBR,United Kingdom,Pos Imigresen Bukit Bunga,Kelantan,2
GBR,United Kingdom,Pos Imigresen Mengkalap,Sarawak,1472
GBR,United Kingdom,Pos Kawalan Imigresen Muar,Johor,2
GBR,United Kingdom,Rantau Panjang,Kelantan,318
GBR,United Kingdom,Roro Labuan,Labuan,104
GBR,United Kingdom,Sindumin,Sabah,1
GBR,United Kingdom,Stulang Laut,Johor,212
GBR,United Kingdom,Sungai Tujuh,Sarawak,12182
GBR,United Kingdom,Tanjung Belungkor,Johor,154
GBR,United Kingdom,Tanjung Lembung,Kedah,42
GBR,United Kingdom,Tanjung Pengelih,Johor,353
GBR,United Kingdom,Tebedu,Sarawak,83
GBR,United Kingdom,Tedungan,Sarawak,2588
GBR,United Kingdom,Telaga Harbour Park,Kedah,3230
GBR,United Kingdom,Terminal Feri Puteri Harbour,Johor,187
GBR,United Kingdom,Wang Kelian,Perlis,1203
GBR,United Kingdom,Woodlands Train Checkpoint,Singapore,2126
GEO,Georgia,Bangunan Sultan Iskandar,Johor,76
GEO,Georgia,Bukit Kayu Hitam,Kedah,52
GEO,Georgia,Dermaga Sandakan,Sabah,4
GEO,Georgia,Gelang Patah,Johor,56
GEO,Georgia,Jeti Kuah Langkawi,Kedah,8
GEO,Georgia,LTA Bayan Lepas,Pulau_Pinang,52
GEO,Georgia,LTA Ipoh,Perak,2
GEO,Georgia,LTA Kota Kinabalu,Sabah,6
GEO,Georgia,LTA Kuala Lumpur Terminal 1,Selangor,1664
GEO,Georgia,LTA Kuala Lumpur Terminal 2,Selangor,516
GEO,Georgia,LTA Kuching,Sarawak,4
GEO,Georgia,LTA Langkawi,Kedah,34
GEO,Georgia,Linggi,Melaka,2
GEO,Georgia,Padang Besar,Perlis,12
GEO,Georgia,Pasir Gudang,Johor,4
GEO,Georgia,Pelabuhan Klang Barat - KMT,Selangor,2
GEO,Georgia,Pelabuhan Klang Utara,Selangor,2
GEO,Georgia,Pelabuhan Tanjung Pelepas,Johor,192
GEO,Georgia,Telaga Harbour Park,Kedah,2
GEO,Georgia,Wang Kelian,Perlis,18
GHA,Ghana,Bangunan Sultan Iskandar,Johor,64
GHA,Ghana,Gelang Patah,Johor,93
GHA,Ghana,LT Miri,Sarawak,1
GHA,Ghana,LTA Bayan Lepas,Pulau_Pinang,18
GHA,Ghana,LTA Kota Kinabalu,Sabah,6
GHA,Ghana,LTA Kuala Lumpur Terminal 1,Selangor,1221
GHA,Ghana,LTA Kuala Lumpur Terminal 2,Selangor,235
GHA,Ghana,LTA Kuching,Sarawak,1
GHA,Ghana,LTA Langkawi,Kedah,7
GHA,Ghana,LTA Sultan Ismail Senai,Johor,5
GHA,Ghana,Pejabat Imigresen Desaru Coast,Johor,1
GHA,Ghana,Pelabuhan Klang Barat - KMT,Selangor,39
GHA,Ghana,Pelabuhan Klang Barat - SCT,Selangor,12
GHA,Ghana,Pelabuhan Tanjung Pelepas,Johor,8
GHA,Ghana,Pos Imigresen Mengkalap,Sarawak,2
GHA,Ghana,Rantau Panjang,Kelantan,2
GHA,Ghana,Stulang Laut,Johor,1
GHA,Ghana,Sungai Tujuh,Sarawak,8
GIB,Gibraltar,Bangunan Sultan Iskandar,Johor,1
GIB,Gibraltar,Tebedu,Sarawak,1
GIN,Guinea,Bangunan Sultan Iskandar,Johor,37
GIN,Guinea,Bukit Kayu Hitam,Kedah,8
GIN,Guinea,Gelang Patah,Johor,64
GIN,Guinea,LTA Bayan Lepas,Pulau_Pinang,2
GIN,Guinea,LTA Kota Kinabalu,Sabah,2
GIN,Guinea,LTA Kuala Lumpur Terminal 1,Selangor,961
GIN,Guinea,LTA Kuala Lumpur Terminal 2,Selangor,205
GIN,Guinea,LTA Kuching,Sarawak,2
GIN,Guinea,LTA Langkawi,Kedah,1
GIN,Guinea,LTA Subang Terminal 3,Selangor,1
GIN,Guinea,LTA Sultan Ismail Senai,Johor,1
GIN,Guinea,Padang Besar,Perlis,8
GIN,Guinea,Rantau Panjang,Kelantan,7
GIN,Guinea,Sungai Tujuh,Sarawak,2
GIN,Guinea,Tanjung Pengelih,Johor,1
GLP,Guadeloupe,LTA Kuala Lumpur Terminal 1,Selangor,1
GMB,Gambia,Bangunan Sultan Iskandar,Johor,19
GMB,Gambia,Gelang Patah,Johor,41
GMB,Gambia,LTA Bayan Lepas,Pulau_Pinang,5
GMB,Gambia,LTA Kota Kinabalu,Sabah,4
GMB,Gambia,LTA Kuala Lumpur Terminal 1,Selangor,473
GMB,Gambia,LTA Kuala Lumpur Terminal 2,Selangor,95
GMB,Gambia,LTA Langkawi,Kedah,1
GMB,Gambia,LTA Sultan Ismail Senai,Johor,2
GMB,Gambia,Pos Imigresen Mengkalap,Sarawak,1
GMB,Gambia,Rantau Panjang,Kelantan,2
GMB,Gambia,Sungai Tujuh,Sarawak,2
GMB,Gambia,Woodlands Train Checkpoint,Singapore,2
GNB,Guinea-Bissau,Gelang Patah,Johor,5
GNB,Guinea-Bissau,LTA Kuala Lumpur Terminal 1,Selangor,7
GNB,Guinea-Bissau,LTA Kuala Lumpur Terminal 2,Selangor,2
GNB,Guinea-Bissau,LTA Subang Terminal 3,Selangor,2
GNB,Guinea-Bissau,Stulang Laut,Johor,4
GNQ,Equatorial Guinea,Gelang Patah,Johor,1
GNQ,Equatorial Guinea,LTA Kuala Lumpur Terminal 1,Selangor,40
GNQ,Equatorial Guinea,LTA Kuala Lumpur Terminal 2,Selangor,6
GRC,Greece,Bangunan Sultan Iskandar,Johor,468
GRC,Greece,Biawak,Sarawak,1
GRC,Greece,Bukit Kayu Hitam,Kedah,49
GRC,Greece,Dermaga Bintulu,Sarawak,1
GRC,Greece,Dermaga Kota Kinabalu,Sabah,2
GRC,Greece,Dermaga Tawau,Sabah,1
GRC,Greece,Gelang Patah,Johor,464
GRC,Greece,Jeti Kuah Langkawi,Kedah,44
GRC,Greece,Jeti Port Dickson,Negeri_Sembilan,4
GRC,Greece,LT Bintulu,Sarawak,1
GRC,Greece,LT Sandakan,Sabah,1
GRC,Greece,LT Tawau,Sabah,1
GRC,Greece,LTA Bayan Lepas,Pulau_Pinang,158
GRC,Greece,LTA Ipoh,Perak,8
GRC,Greece,LTA Kota Kinabalu,Sabah,55
GRC,Greece,LTA Kuala Lumpur Terminal 1,Selangor,3070
GRC,Greece,LTA Kuala Lumpur Terminal 2,Selangor,1467
GRC,Greece,LTA Kuching,Sarawak,82
GRC,Greece,LTA Langkawi,Kedah,94
GRC,Greece,LTA Subang Terminal 3,Selangor,56
GRC,Greece,LTA Sultan Ismail Senai,Johor,14
GRC,Greece,Linggi,Melaka,4
GRC,Greece,Lumut,Perak,1
GRC,Greece,Merapok,Sabah,1
GRC,Greece,Padang Besar,Perlis,31
GRC,Greece,Pandaruan,Sarawak,7
GRC,Greece,Pasir Gudang,Johor,8
GRC,Greece,Pejabat Imigresen Desaru Coast,Johor,5
GRC,Greece,Pejabat Imigresen Port Swettenham,Selangor,6
GRC,Greece,Pelabuhan Klang Barat - KMT,Selangor,50
GRC,Greece,Pelabuhan Klang Barat - SCT,Selangor,10
GRC,Greece,Pelabuhan Klang Utara,Selangor,11
GRC,Greece,Pelabuhan Kuantan,Pahang,10
GRC,Greece,Pelabuhan Tanjung Pelepas,Johor,82
GRC,Greece,Pengkalan Kubur,Kelantan,2
GRC,Greece,Pos Imigresen Mengkalap,Sarawak,9
GRC,Greece,Rantau Panjang,Kelantan,7
GRC,Greece,Stulang Laut,Johor,1
