country,poe,state,Total_Arrivals
SWE,Jeti Kuah Langkawi,Kedah,1215
AUS,Jeti Kuah Langkawi,Kedah,1210
TLS,LTA Kuala Lumpur Terminal 2,Selangor,1205
BEL,LTA Bayan Lepas,Pulau_Pinang,1204
PAK,LTA Langkawi,Kedah,1204
GBR,Wang Kelian,Perlis,1203
IDN,LT Miri,Sarawak,1202
IND,LTA Kuching,Sarawak,1192
NLD,Bukit Kayu Hitam,Kedah,1185
KOR,Telaga Harbour Park,Kedah,1176
CZE,Bangunan Sultan Iskandar,Johor,1175
PER,LTA Kuala Lumpur Terminal 2,Selangor,1171
IND,Pelabuhan Klang Utara,Selangor,1164
THA,Pelabuhan Klang Barat - SCT,Selangor,1150
IND,Stulang Laut,Johor,1144
CAN,LTA Kuching,Sarawak,1141
HUN,Gelang Patah,Johor,1139
PHL,LTA Subang Terminal 3,Selangor,1136
LVA,LTA Kuala Lumpur Terminal 2,Selangor,1135
CAN,Bukit Kayu Hitam,Kedah,1127
CHE,LTA Langkawi,Kedah,1127
DEU,LTA Subang Terminal 3,Selangor,1126
CZE,Gelang Patah,Johor,1124
XXX,Gelang Patah,Johor,1118
PRT,Bangunan Sultan Iskandar,Johor,1111
SWE,LTA Langkawi,Kedah,1111
MUS,Bangunan Sultan Iskandar,Johor,1101
GBR,LT Miri,Sarawak,1094
JPN,Bukit Kayu Hitam,Kedah,1082
ROU,Bangunan Sultan Iskandar,Johor,1079
BGD,LTA Langkawi,Kedah,1078
BRN,Tebedu,Sarawak,1078
MEX,Bangunan Sultan Iskandar,Johor,1068
KEN,LTA Kuala Lumpur Terminal 2,Selangor,1066
SGP,Rantau Panjang,Kelantan,1064
MAR,Bangunan Sultan Iskandar,Johor,1064
SGP,Tedungan,Sarawak,1064
AUS,Padang Besar,Perlis,1062
NLD,LTA Kuching,Sarawak,1052
TWN,LTA Langkawi,Kedah,1051
PHL,LTA Ipoh,Perak,1047
GBR,Pejabat Imigresen Desaru Coast,Johor,1045
FIN,LTA Langkawi,Kedah,1043
AUS,Telaga Harbour Park,Kedah,1038
XXX,LTA Bayan Lepas,Pulau_Pinang,1035
SRB,LTA Kuala Lumpur Terminal 1,Selangor,1031
USA,LTA Sultan Ismail Senai,Johor,1025
VEN,LTA Kuala Lumpur Terminal 1,Selangor,1019
PSE,LTA Kuala Lumpur Terminal 2,Selangor,1019
GBR,LTA Sultan Ismail Senai,Johor,1015
IDN,Wang Kelian,Perlis,1013
RUS,Rantau Panjang,Kelantan,1011
NZL,LTA Kuching,Sarawak,1006
ARG,Gelang Patah,Johor,1003
LBY,LTA Kuala Lumpur Terminal 2,Selangor,1002
AUS,LT Miri,Sarawak,1000
CYP,LTA Kuala Lumpur Terminal 1,Selangor,999
THA,Telaga Harbour Park,Kedah,992
PNG,LTA Kuala Lumpur Terminal 1,Selangor,992
FIN,LTA Bayan Lepas,Pulau_Pinang,991
NZL,LTA Kota Kinabalu,Sabah,982
IND,Pejabat Imigresen Desaru Coast,Johor,982
ZAF,LTA Bayan Lepas,Pulau_Pinang,981
ITA,LTA Kuching,Sarawak,980
HRV,LTA Kuala Lumpur Terminal 2,Selangor,969
GIN,LTA Kuala Lumpur Terminal 1,Selangor,961
USA,Jeti Kuah Langkawi,Kedah,960
ITA,Jeti Kuah Langkawi,Kedah,956
SVK,Bukit Kayu Hitam,Kedah,950
EGY,Gelang Patah,Johor,946
JPN,LTA Ipoh,Perak,942
CHN,Pelabuhan Tanjung Pelepas,Johor,941
SEN,LTA Kuala Lumpur Terminal 1,Selangor,931
MDG,LTA Kuala Lumpur Terminal 1,Selangor,929
IND,Dermaga Labuan,Labuan,929
POL,LTA Langkawi,Kedah,916
IRN,Bangunan Sultan Iskandar,Johor,915
KNA,LTA Kuala Lumpur Terminal 1,Selangor,904
ESP,Telaga Harbour Park,Kedah,903
PAK,Bukit Kayu Hitam,Kedah,902
BRN,Woodlands Train Checkpoint,Singapore,901
DNK,Telaga Harbour Park,Kedah,896
NZL,LTA Langkawi,Kedah,892
USA,Telaga Harbour Park,Kedah,889
JPN,Sungai Tujuh,Sarawak,883
UZB,Gelang Patah,Johor,881
ESP,LTA Langkawi,Kedah,881
IND,Padang Besar,Perlis,878
VUT,LTA Kuala Lumpur Terminal 1,Selangor,876
NPL,Dermaga Labuan,Labuan,873
CHN,Jeti Kuah Langkawi,Kedah,870
SGP,Jeti Tioman,Pahang,869
POL,Telaga Harbour Park,Kedah,869
ZAF,Sungai Tujuh,Sarawak,863
RUS,LTA Kota Kinabalu,Sabah,863
FJI,LTA Kuala Lumpur Terminal 2,Selangor,862
GBR,Pelabuhan Klang Barat - SCT,Selangor,861
CHN,Pos Imigresen Mengkalap,Sarawak,860
KOR,Pelabuhan Klang Barat - SCT,Selangor,845
LAO,Bangunan Sultan Iskandar,Johor,842
USA,Stulang Laut,Johor,841
GEO,LTA Kuala Lumpur Terminal 1,Selangor,832
CAN,Woodlands Train Checkpoint,Singapore,832
BIH,LTA Kuala Lumpur Terminal 1,Selangor,823
CHN,LT Miri,Sarawak,818
IDN,Dermaga Labuan,Labuan,818
TWN,Pelabuhan Klang Barat - SCT,Selangor,810
LTU,Gelang Patah,Johor,805
CZE,LTA Langkawi,Kedah,801
SAU,LTA Bayan Lepas,Pulau_Pinang,799
LBN,LTA Kuala Lumpur Terminal 2,Selangor,796
CHN,Tedungan,Sarawak,792
DEU,Sungai Tujuh,Sarawak,790
KEN,Gelang Patah,Johor,787
IDN,LT Tawau,Sabah,782
NGA,LTA Kuala Lumpur Terminal 2,Selangor,777
URY,LTA Kuala Lumpur Terminal 2,Selangor,776
FRA,Woodlands Train Checkpoint,Singapore,771
AUS,Pelabuhan Klang Barat - KMT,Selangor,764
CAN,LTA Subang Terminal 3,Selangor,762
NZL,Sungai Tujuh,Sarawak,759
SVN,LTA Kuala Lumpur Terminal 2,Selangor,757
UKR,Gelang Patah,Johor,752
GBR,Dermaga Labuan,Labuan,750
ESP,LTA Kuching,Sarawak,749
KHM,LTA Bayan Lepas,Pulau_Pinang,748
USA,Pelabuhan Klang Barat - KMT,Selangor,743
DNK,Jeti Kuah Langkawi,Kedah,740
DNK,LTA Langkawi,Kedah,736
ETH,LTA Kuala Lumpur Terminal 1,Selangor,736
SGP,Telaga Harbour Park,Kedah,730
SGP,Wang Kelian,Perlis,728
URY,LTA Kuala Lumpur Terminal 1,Selangor,725
TWN,Biawak,Sarawak,724
DEU,Wang Kelian,Perlis,723
PRT,LTA Bayan Lepas,Pulau_Pinang,721
OMN,Bangunan Sultan Iskandar,Johor,715
KWT,Gelang Patah,Johor,713
HKG,LTA Ipoh,Perak,703
DEU,Pelabuhan Klang Barat - KMT,Selangor,702
ARM,LTA Kuala Lumpur Terminal 1,Selangor,695
UKR,Pelabuhan Tanjung Pelepas,Johor,692
FJI,Gelang Patah,Johor,682
NOR,LTA Bayan Lepas,Pulau_Pinang,681
ECU,LTA Kuala Lumpur Terminal 2,Selangor,680
ARE,LTA Kuala Lumpur Terminal 2,Selangor,680
BTN,LTA Kuala Lumpur Terminal 1,Selangor,676
DNK,LTA Kota Kinabalu,Sabah,675
UZB,Bangunan Sultan Iskandar,Johor,675
ESP,LTA Kota Kinabalu,Sabah,674
BGD,Sungai Tujuh,Sarawak,673
AUS,LTA Sultan Ismail Senai,Johor,672
POL,LTA Kota Kinabalu,Sabah,671
ESP,Jeti Kuah Langkawi,Kedah,666
ITA,Bukit Kayu Hitam,Kedah,666
ESP,Bukit Kayu Hitam,Kedah,664
ITA,LTA Kota Kinabalu,Sabah,663
LKA,LTA Bayan Lepas,Pulau_Pinang,659
IRL,LTA Langkawi,Kedah,656
AUS,Pejabat Imigresen Desaru Coast,Johor,653
DEU,Woodlands Train Checkpoint,Singapore,648
IDN,Pelabuhan Tanjung Pelepas,Johor,646
SSD,LTA Kuala Lumpur Terminal 1,Selangor,644
CRI,LTA Kuala Lumpur Terminal 1,Selangor,643
CAN,Padang Besar,Perlis,641
CHE,LTA Kota Kinabalu,Sabah,639
CZE,Telaga Harbour Park,Kedah,633
IDN,Pelabuhan Klang Utara,Selangor,632
DMA,LTA Kuala Lumpur Terminal 1,Selangor,631
LKA,LTA Langkawi,Kedah,631
HUN,Bangunan Sultan Iskandar,Johor,630
CHN,Dermaga Labuan,Labuan,628
IND,LT Miri,Sarawak,627
KOR,Tedungan,Sarawak,626
TWN,LTA Ipoh,Perak,624
LUX,LTA Kuala Lumpur Terminal 1,Selangor,622
UKR,Bangunan Sultan Iskandar,Johor,617
POL,Jeti Kuah Langkawi,Kedah,616
PHL,LT Miri,Sarawak,616
MEX,LTA Bayan Lepas,Pulau_Pinang,616
NPL,LTA Bayan Lepas,Pulau_Pinang,615
IND,LTA Sultan Ismail Senai,Johor,613
MMR,Sungai Tujuh,Sarawak,612
ECU,LTA Kuala Lumpur Terminal 1,Selangor,610
CAN,Jeti Kuah Langkawi,Kedah,609
MLT,LTA Kuala Lumpur Terminal 1,Selangor,606
MMR,LTA Langkawi,Kedah,595
VNM,LTA Kuching,Sarawak,590
THA,Jeti Kuala Perlis,Perlis,589
SGP,LTA Sultan Ismail,Kelantan,588
AUS,Tedungan,Sarawak,586
UKR,LTA Langkawi,Kedah,586
KEN,Bangunan Sultan Iskandar,Johor,586
POL,LTA Kuching,Sarawak,584
NLD,Padang Besar,Perlis,583
ARM,LTA Kuala Lumpur Terminal 2,Selangor,577
DEU,Tedungan,Sarawak,576
TUR,LTA Bayan Lepas,Pulau_Pinang,574
USA,Wang Kelian,Perlis,572
PHL,LTA Sultan Ismail Senai,Johor,569
NLD,LTA Subang Terminal 3,Selangor,568
CHN,Biawak,Sarawak,568
NOR,LTA Langkawi,Kedah,567
CHE,Bukit Kayu Hitam,Kedah,564
IND,Pandaruan,Sarawak,563
KOR,Pelabuhan Klang Barat - KMT,Selangor,560
CZE,LTA Bayan Lepas,Pulau_Pinang,558
TKM,LTA Kuala Lumpur Terminal 2,Selangor,553
RUS,Sungai Tujuh,Sarawak,549
CHE,Telaga Harbour Park,Kedah,547
CAN,Pelabuhan Klang Barat - SCT,Selangor,547
CAN,Telaga Harbour Park,Kedah,545
MOZ,LTA Kuala Lumpur Terminal 1,Selangor,544
FIN,Telaga Harbour Park,Kedah,544
PHL,Stulang Laut,Johor,543
VEN,LTA Kuala Lumpur Terminal 2,Selangor,543
JPN,Pejabat Imigresen Desaru Coast,Johor,543
CHN,Pejabat Imigresen Desaru Coast,Johor,541
DEU,LTA Ipoh,Perak,540
BOL,LTA Kuala Lumpur Terminal 1,Selangor,538
CHN,Terminal Feri Puteri Harbour,Johor,538
KOR,LTA Subang Terminal 3,Selangor,535
XXX,Sungai Tujuh,Sarawak,535
UKR,LTA Bayan Lepas,Pulau_Pinang,531
BHR,LTA Kuala Lumpur Terminal 2,Selangor,531
TWN,LTA Sultan Ismail Senai,Johor,531
CHE,Jeti Kuah Langkawi,Kedah,530
USA,Pejabat Imigresen Desaru Coast,Johor,524
CAN,LTA Ipoh,Perak,522
ZWE,LTA Kuala Lumpur Terminal 2,Selangor,518
AZE,LTA Kuala Lumpur Terminal 2,Selangor,517
VNM,LTA Langkawi,Kedah,516
KAZ,Gelang Patah,Johor,515
CRI,LTA Kuala Lumpur Terminal 2,Selangor,515
ITA,LTA Subang Terminal 3,Selangor,515
MMR,LTA Sultan Ismail Senai,Johor,513
SGP,Jeti Kuah Langkawi,Kedah,512
PHL,Rantau Panjang,Kelantan,512
SGP,Pandaruan,Sarawak,511
TJK,LTA Kuala Lumpur Terminal 2,Selangor,510
USA,Pengkalan Hulu (Bukit Berapit),Perak,510
VNM,Pelabuhan Klang Barat - KMT,Selangor,509
HUN,LTA Bayan Lepas,Pulau_Pinang,508
UKR,Bukit Kayu Hitam,Kedah,505
KOR,Stulang Laut,Johor,504
AUS,Wang Kelian,Perlis,502
BGR,Gelang Patah,Johor,502
FRA,LTA Ipoh,Perak,501
HUN,LTA Langkawi,Kedah,500
PHL,Pejabat Imigresen Desaru Coast,Johor,499
PHL,Roro Labuan,Labuan,498
MMR,Pelabuhan Tanjung Pelepas,Johor,496
RUS,Pelabuhan Tanjung Pelepas,Johor,496
CIV,LTA Kuala Lumpur Terminal 1,Selangor,491
KOR,Jeti Kuah Langkawi,Kedah,490
ARG,Telaga Harbour Park,Kedah,489
MKD,LTA Kuala Lumpur Terminal 1,Selangor,487
CZE,Bukit Kayu Hitam,Kedah,485
ISL,LTA Kuala Lumpur Terminal 1,Selangor,484
HKG,LTA Kota Kinabalu,Sabah,484
PAK,Pengkalan Hulu (Bukit Berapit),Perak,482
MMR,Pelabuhan Klang Barat - SCT,Selangor,481
SAU,LTA Langkawi,Kedah,481
AUT,LTA Langkawi,Kedah,480
GMB,LTA Kuala Lumpur Terminal 1,Selangor,473
CHE,LTA Kuching,Sarawak,472
MMR,Bukit Kayu Hitam,Kedah,472
KAZ,LTA Langkawi,Kedah,471
SWE,LTA Kota Kinabalu,Sabah,470
BEL,LTA Langkawi,Kedah,469
THA,LTA Kuching,Sarawak,468
ARG,Bangunan Sultan Iskandar,Johor,468
GRC,Bangunan Sultan Iskandar,Johor,468
FRA,Pejabat Imigresen Desaru Coast,Johor,466
GRC,Gelang Patah,Johor,464
JPN,Jeti Kuah Langkawi,Kedah,463
OMN,Gelang Patah,Johor,452
TTO,LTA Kuala Lumpur Terminal 1,Selangor,451
ALB,LTA Kuala Lumpur Terminal 1,Selangor,451
SWE,Bukit Kayu Hitam,Kedah,451
CMR,LTA Kuala Lumpur Terminal 1,Selangor,449
MRT,LTA Kuala Lumpur Terminal 1,Selangor,448
FRA,Wang Kelian,Perlis,448
THA,Pos Imigresen Mengkalap,Sarawak,447
TZA,LTA Kuala Lumpur Terminal 2,Selangor,447
BRA,LTA Bayan Lepas,Pulau_Pinang,446
RUS,LTA Subang Terminal 3,Selangor,446
FJI,Bangunan Sultan Iskandar,Johor,445
YEM,Bangunan Sultan Iskandar,Johor,443
SRB,LTA Kuala Lumpur Terminal 2,Selangor,439
THA,LTA Subang Terminal 3,Selangor,439
AUS,Pengkalan Hulu (Bukit Berapit),Perak,438
ROU,LTA Langkawi,Kedah,438
IRQ,Gelang Patah,Johor,437
URY,Gelang Patah,Johor,435
CZE,Jeti Kuah Langkawi,Kedah,434
HRV,Bangunan Sultan Iskandar,Johor,433
CAN,LT Miri,Sarawak,431
AUS,Pos Imigresen Mengkalap,Sarawak,428
KAZ,Bangunan Sultan Iskandar,Johor,428
LVA,Gelang Patah,Johor,425
RUS,LTA Sultan Ismail Senai,Johor,421
CHL,Gelang Patah,Johor,419
VNM,LTA Kota Kinabalu,Sabah,417
KWT,Bangunan Sultan Iskandar,Johor,417
PAK,Padang Besar,Perlis,416
HKG,LTA Kuching,Sarawak,414
TCD,LTA Kuala Lumpur Terminal 1,Selangor,413
KOR,Terminal Feri Puteri Harbour,Johor,412
MMR,LTA Ipoh,Perak,412
PAK,Pos Imigresen Mengkalap,Sarawak,411
MAR,Gelang Patah,Johor,408
JPN,Tedungan,Sarawak,404
LAO,Pengkalan Hulu (Bukit Berapit),Perak,404
THA,Pelabuhan Klang Barat - KMT,Selangor,402
CHN,LT Bintulu,Sarawak,401
VUT,Gelang Patah,Johor,401
BRA,LTA Langkawi,Kedah,400
HKG,LTA Bayan Lepas,Pulau_Pinang,399
IDN,Roro Labuan,Labuan,398
TWN,LTA Subang Terminal 3,Selangor,396
KOR,Pos Imigresen Mengkalap,Sarawak,396
IDN,LT Bintulu,Sarawak,394
FRA,Sungai Tujuh,Sarawak,393
MWI,LTA Kuala Lumpur Terminal 1,Selangor,392
USA,LT Miri,Sarawak,392
IDN,Jeti Kuah Langkawi,Kedah,392
NLD,Woodlands Train Checkpoint,Singapore,392
TUR,Bukit Kayu Hitam,Kedah,391
IRL,LTA Kota Kinabalu,Sabah,390
FIN,Jeti Kuah Langkawi,Kedah,390
ESP,LTA Subang Terminal 3,Selangor,387
CHE,Padang Besar,Perlis,386
NZL,Bukit Kayu Hitam,Kedah,383
ITA,Padang Besar,Perlis,382
DZA,Bangunan Sultan Iskandar,Johor,382
VNM,LTA Ipoh,Perak,382
PAK,Pandaruan,Sarawak,381
ROU,LTA Bayan Lepas,Pulau_Pinang,381
TWN,LTA Kuantan,Pahang,379
SLE,LTA Kuala Lumpur Terminal 1,Selangor,379
CHN,LTA Kuantan,Pahang,377
LAO,Stulang Laut,Johor,377
SVK,Gelang Patah,Johor,376
POL,Bukit Kayu Hitam,Kedah,375
LAO,LTA Bayan Lepas,Pulau_Pinang,375
THA,Stulang Laut,Johor,375
IDN,ICQ Durian Burung,Kedah,374
SGP,Tebedu,Sarawak,373
FRA,Rantau Panjang,Kelantan,372
CAN,Pos Imigresen Mengkalap,Sarawak,370
ZAF,LTA Langkawi,Kedah,368
PER,Gelang Patah,Johor,368
BRN,Padang Besar,Perlis,365
EST,Gelang Patah,Johor,364
ARE,Bangunan Sultan Iskandar,Johor,363
NAM,LTA Kuala Lumpur Terminal 1,Selangor,362
BRN,Bukit Kayu Hitam,Kedah,361
TWN,Tedungan,Sarawak,360
NZL,LTA Subang Terminal 3,Selangor,360
COM,LTA Kuala Lumpur Terminal 1,Selangor,359
DNK,Pelabuhan Tanjung Pelepas,Johor,357
NZL,LTA Ipoh,Perak,356
BEL,LTA Kota Kinabalu,Sabah,354
GBR,Tanjung Pengelih,Johor,353
USA,LT Sandakan,Sabah,353
AUS,Stulang Laut,Johor,351
NZL,Tedungan,Sarawak,351
NZL,Woodlands Train Checkpoint,Singapore,350
THA,LTA Langkawi,Kedah,350
BIH,LTA Kuala Lumpur Terminal 2,Selangor,349
NOR,Telaga Harbour Park,Kedah,348
SOM,LTA Kuala Lumpur Terminal 2,Selangor,345
TWN,Tebedu,Sarawak,343
IRL,Bukit Kayu Hitam,Kedah,343
BEL,Jeti Kuah Langkawi,Kedah,343
BGR,Bangunan Sultan Iskandar,Johor,340
KHM,ICQ Durian Burung,Kedah,340
POL,Padang Besar,Perlis,339
TUR,Pelabuhan Klang Barat - KMT,Selangor,338
NGA,Bangunan Sultan Iskandar,Johor,337
ZAF,Tedungan,Sarawak,336
SVK,Bangunan Sultan Iskandar,Johor,336
ERI,LTA Kuala Lumpur Terminal 1,Selangor,332
IND,Tanjung Pengelih,Johor,331
LTU,Bangunan Sultan Iskandar,Johor,330
ESP,Padang Besar,Perlis,330
SWZ,LTA Kuala Lumpur Terminal 1,Selangor,329
DEU,LTA Sultan Ismail Senai,Johor,328
IDN,Pengkalan Kubur,Kelantan,327
AUT,Bukit Kayu Hitam,Kedah,327
CAN,Tedungan,Sarawak,327
HRV,Gelang Patah,Johor,324
BEL,Bukit Kayu Hitam,Kedah,324
MDA,LTA Kuala Lumpur Terminal 1,Selangor,324
BRA,Telaga Harbour Park,Kedah,323
DJI,LTA Kuala Lumpur Terminal 1,Selangor,323
PHL,Terminal Feri Puteri Harbour,Johor,322
MLT,LTA Kuala Lumpur Terminal 2,Selangor,320
DNK,LTA Kuching,Sarawak,319
PAN,LTA Kuala Lumpur Terminal 1,Selangor,318
GBR,Rantau Panjang,Kelantan,318
BEL,Telaga Harbour Park,Kedah,318
CAN,LTA Sultan Ismail Senai,Johor,317
MMR,LTA Kuching,Sarawak,316
PRT,LTA Langkawi,Kedah,314
GBR,LT Sandakan,Sabah,313
KOR,LTA Ipoh,Perak,313
CYP,LTA Kuala Lumpur Terminal 2,Selangor,310
SVK,LTA Langkawi,Kedah,310
CHN,Telaga Harbour Park,Kedah,309
XXX,LTA Kota Kinabalu,Sabah,307
UZB,Bukit Kayu Hitam,Kedah,307
PRT,Telaga Harbour Park,Kedah,307
CUB,LTA Kuala Lumpur Terminal 1,Selangor,306
COL,Gelang Patah,Johor,306
PHL,Jeti Kuah Langkawi,Kedah,304
GBR,Pelabuhan Klang Barat - KMT,Selangor,304
ZAF,LTA Kota Kinabalu,Sabah,303
VNM,LTA Subang Terminal 3,Selangor,302
BWA,LTA Kuala Lumpur Terminal 1,Selangor,301
SVK,LTA Bayan Lepas,Pulau_Pinang,300
VUT,LTA Kuala Lumpur Terminal 2,Selangor,299
TWN,Padang Besar,Perlis,298
SGP,Jeti Pasir Gudang,Johor,298
TWN,Pengkalan Hulu (Bukit Berapit),Perak,296
VNM,Terminal Feri Puteri Harbour,Johor,295
LUX,LTA Kuala Lumpur Terminal 2,Selangor,294
EST,Bangunan Sultan Iskandar,Johor,294
DOM,LTA Kuala Lumpur Terminal 1,Selangor,294
GTM,LTA Kuala Lumpur Terminal 2,Selangor,293
KHM,Jeti Kuah Langkawi,Kedah,293
DNK,Bukit Kayu Hitam,Kedah,292
TWN,Pelabuhan Klang Barat - KMT,Selangor,289
TWN,LT Miri,Sarawak,287
AUT,Jeti Kuah Langkawi,Kedah,287
ARG,Jeti Kuah Langkawi,Kedah,287
AUT,Telaga Harbour Park,Kedah,285
NZL,Jeti Kuah Langkawi,Kedah,285
HUN,Jeti Kuah Langkawi,Kedah,284
AUT,Pelabuhan Klang Barat - SCT,Selangor,284
KGZ,Bangunan Sultan Iskandar,Johor,283
BRN,LTA Bayan Lepas,Pulau_Pinang,283
ARG,Bukit Kayu Hitam,Kedah,283
EST,Telaga Harbour Park,Kedah,283
VUT,Bangunan Sultan Iskandar,Johor,282
CZE,LTA Kota Kinabalu,Sabah,281
MNE,LTA Kuala Lumpur Terminal 1,Selangor,281
IRL,Sungai Tujuh,Sarawak,280
VNM,Tedungan,Sarawak,280
AUS,LTA Kuantan,Pahang,279
LKA,Woodlands Train Checkpoint,Singapore,279
CAN,Wang Kelian,Perlis,277
TWN,LT Sandakan,Sabah,277
GBR,Pengkalan Hulu (Bukit Berapit),Perak,277
PAK,Tedungan,Sarawak,276
MMR,LTA Kota Kinabalu,Sabah,275
IRL,Telaga Harbour Park,Kedah,273
ATG,LTA Kuala Lumpur Terminal 1,Selangor,273
PAK,Woodlands Train Checkpoint,Singapore,272
BGD,Bukit Kayu Hitam,Kedah,272
THA,Pandaruan,Sarawak,271
JPN,Tanjung Pengelih,Johor,271
FIN,LTA Kota Kinabalu,Sabah,271
BEL,LTA Kuching,Sarawak,270
BRN,Merapok,Sabah,269
CHN,Tanjung Pengelih,Johor,267
SAU,Bukit Kayu Hitam,Kedah,267
GBR,Pandaruan,Sarawak,266
SWE,LTA Kuching,Sarawak,265
HUN,Telaga Harbour Park,Kedah,264
IDN,Pejabat Imigresen Desaru Coast,Johor,264
NPL,Pos Imigresen Mengkalap,Sarawak,263
TWN,Pos Imigresen Mengkalap,Sarawak,262
UKR,Telaga Harbour Park,Kedah,262
KNA,LTA Kuala Lumpur Terminal 2,Selangor,262
PER,Bangunan Sultan Iskandar,Johor,261
DZA,Gelang Patah,Johor,261
MDG,LTA Kuala Lumpur Terminal 2,Selangor,260
JPN,LT Miri,Sarawak,259
QAT,Gelang Patah,Johor,258
GEO,LTA Kuala Lumpur Terminal 2,Selangor,258
BGD,Woodlands Train Checkpoint,Singapore,258
MMR,Pelabuhan Klang Barat - KMT,Selangor,258
TUR,Padang Besar,Perlis,257
SWE,Padang Besar,Perlis,256
MDA,LTA Kuala Lumpur Terminal 2,Selangor,256
UZB,LTA Kota Kinabalu,Sabah,254
IDN,Pasir Gudang,Johor,254
JPN,Stulang Laut,Johor,253
UGA,LTA Kuala Lumpur Terminal 2,Selangor,252
FRA,LTA Sultan Ismail Senai,Johor,249
SGP,LT Tawau,Sabah,249
THA,Jeti Tioman,Pahang,249
TUR,LTA Langkawi,Kedah,246
PRT,LTA Kota Kinabalu,Sabah,244
AUS,Terminal Feri Puteri Harbour,Johor,244
ALB,LTA Kuala Lumpur Terminal 2,Selangor,243
DEU,Rantau Panjang,Kelantan,243
NZL,Padang Besar,Perlis,242
DEU,Pejabat Imigresen Desaru Coast,Johor,242
CHN,LT Sibu,Sarawak,241
DNK,LTA Subang Terminal 3,Selangor,241
PNG,LTA Kuala Lumpur Terminal 2,Selangor,240
IRL,Jeti Kuah Langkawi,Kedah,239
USA,Pos Imigresen Mengkalap,Sarawak,238
THA,LTA Ipoh,Perak,238
EST,LTA Langkawi,Kedah,237
BRA,Bukit Kayu Hitam,Kedah,237
AUT,LTA Kota Kinabalu,Sabah,236
NGA,Gelang Patah,Johor,236
GHA,LTA Kuala Lumpur Terminal 2,Selangor,235
LTU,LTA Langkawi,Kedah,234
FRA,LTA Kuantan,Pahang,233
NOR,Jeti Kuah Langkawi,Kedah,233
USA,Rantau Panjang,Kelantan,232
YEM,Gelang Patah,Johor,232
NLD,Wang Kelian,Perlis,232
BRN,Biawak,Sarawak,231
SVK,Telaga Harbour Park,Kedah,231
LKA,Sungai Tujuh,Sarawak,231
TWN,Stulang Laut,Johor,230
NPL,Pelabuhan Klang Barat - SCT,Selangor,230
ISL,LTA Kuala Lumpur Terminal 2,Selangor,229
SGP,Pelabuhan Melaka,Melaka,229
SEN,LTA Kuala Lumpur Terminal 2,Selangor,229
PHL,Pasir Gudang,Johor,229
KNA,Bangunan Sultan Iskandar,Johor,228
ALB,Bangunan Sultan Iskandar,Johor,228
KNA,Gelang Patah,Johor,227
JPN,Pelabuhan Klang Barat - SCT,Selangor,226
COL,Bangunan Sultan Iskandar,Johor,226
DEU,Pos Imigresen Mengkalap,Sarawak,225
NLD,LTA Ipoh,Perak,224
PHL,Tanjung Pengelih,Johor,224
NPL,Roro Labuan,Labuan,223
UZB,LTA Bayan Lepas,Pulau_Pinang,223
SUR,LTA Kuala Lumpur Terminal 1,Selangor,222
KHM,Pengkalan Hulu (Bukit Berapit),Perak,222
CHN,Tebedu,Sarawak,221
PAK,Rantau Panjang,Kelantan,219
VNM,Rantau Panjang,Kelantan,219
BGD,LTA Kuching,Sarawak,218
KOR,Pejabat Imigresen Desaru Coast,Johor,218
OMN,LTA Bayan Lepas,Pulau_Pinang,218
NOR,Sungai Tujuh,Sarawak,218
USA,Tedungan,Sarawak,217
IDN,Telaga Harbour Park,Kedah,217
CHE,LTA Subang Terminal 3,Selangor,216
IRL,LTA Subang Terminal 3,Selangor,216
PHL,Pengkalan Hulu (Bukit Berapit),Perak,215
GTM,LTA Kuala Lumpur Terminal 1,Selangor,215
TUR,Sungai Tujuh,Sarawak,215
IND,LT Bintulu,Sarawak,214
TTO,LTA Kuala Lumpur Terminal 2,Selangor,213
ROU,Telaga Harbour Park,Kedah,213
EGY,Pos Imigresen Mengkalap,Sarawak,213
BEL,Padang Besar,Perlis,212
ITA,Sungai Tujuh,Sarawak,212
IDN,Kawasan Pelabuhan Sematan,Sarawak,212
GBR,Stulang Laut,Johor,212
CHE,Wang Kelian,Perlis,211
OMN,Sungai Tujuh,Sarawak,208
CHL,Bangunan Sultan Iskandar,Johor,208
KAZ,Bukit Kayu Hitam,Kedah,208
BTN,LTA Kuala Lumpur Terminal 2,Selangor,205
GIN,LTA Kuala Lumpur Terminal 2,Selangor,205
ARE,Gelang Patah,Johor,204
AUS,Tanjung Pengelih,Johor,203
AUS,LT Sibu,Sarawak,203
COD,LTA Kuala Lumpur Terminal 1,Selangor,203
FRA,Tanjung Pengelih,Johor,202
JAM,LTA Kuala Lumpur Terminal 1,Selangor,202
NLD,Pelabuhan Klang Barat - SCT,Selangor,202
BEL,LTA Subang Terminal 3,Selangor,201
IRL,Padang Besar,Perlis,200
NOR,LTA Kota Kinabalu,Sabah,199
PAK,Pelabuhan Klang Barat - SCT,Selangor,198
ZAF,Bukit Kayu Hitam,Kedah,198
UKR,LTA Sultan Ismail Senai,Johor,197
SGP,Biawak,Sarawak,197
MNG,LTA Bayan Lepas,Pulau_Pinang,196
AUT,LTA Kuching,Sarawak,196
ROU,Pelabuhan Tanjung Pelepas,Johor,196
MAR,LTA Bayan Lepas,Pulau_Pinang,195
CUB,LTA Kuala Lumpur Terminal 2,Selangor,194
