country,poe,state,Total_Arrivals
KHM,Gelang Patah,Johor,35962
THA,Gelang Patah,Johor,35502
GBR,Bangunan Sultan Iskandar,Johor,34280
MMR,Gelang Patah,Johor,34142
BGD,Bangunan Sultan Iskandar,Johor,33797
EGY,LTA Kuala Lumpur Terminal 1,Selangor,32739
KHM,LTA Kuala Lumpur Terminal 1,Selangor,32560
IRN,LTA Kuala Lumpur Terminal 1,Selangor,32034
CAN,LTA Kuala Lumpur Terminal 2,Selangor,28972
YEM,LTA Kuala Lumpur Terminal 1,Selangor,28921
GBR,LTA Bayan Lepas,Pulau_Pinang,28774
SGP,Bukit Kayu Hitam,Kedah,28084
VNM,LTA Bayan Lepas,Pulau_Pinang,28053
MDV,LTA Kuala Lumpur Terminal 2,Selangor,26841
NLD,LTA Kuala Lumpur Terminal 2,Selangor,26598
CHN,LTA Sultan Ismail Senai,Johor,25990
DEU,Gelang Patah,Johor,25420
JPN,LTA Bayan Lepas,Pulau_Pinang,24831
MDV,LTA Kuala Lumpur Terminal 1,Selangor,24160
BGD,Gelang Patah,Johor,23908
OMN,LTA Kuala Lumpur Terminal 1,Selangor,23717
IDN,LTA Kuching,Sarawak,23030
LKA,LTA Kuala Lumpur Terminal 2,Selangor,22952
ESP,LTA Kuala Lumpur Terminal 2,Selangor,22530
IRQ,LTA Kuala Lumpur Terminal 1,Selangor,21041
SDN,LTA Kuala Lumpur Terminal 1,Selangor,20674
FRA,Gelang Patah,Johor,20659
MUS,LTA Kuala Lumpur Terminal 1,Selangor,20496
IND,LTA Bayan Lepas,Pulau_Pinang,20113
ITA,LTA Kuala Lumpur Terminal 2,Selangor,19922
FRA,Bangunan Sultan Iskandar,Johor,19712
IDN,Woodlands Train Checkpoint,Singapore,19611
PHL,Sungai Tujuh,Sarawak,19148
IDN,LTA Subang Terminal 3,Selangor,19027
BRN,Dermaga Labuan,Labuan,18469
IND,Pelabuhan Klang Barat - SCT,Selangor,18416
TUR,LTA Kuala Lumpur Terminal 1,Selangor,18249
CHE,LTA Kuala Lumpur Terminal 1,Selangor,17990
TWN,LTA Kota Kinabalu,Sabah,17596
NZL,LTA Kuala Lumpur Terminal 2,Selangor,17500
VNM,Stulang Laut,Johor,17353
DEU,Bangunan Sultan Iskandar,Johor,17240
UZB,LTA Kuala Lumpur Terminal 1,Selangor,17022
BEL,LTA Kuala Lumpur Terminal 1,Selangor,16942
PHL,LTA Kota Kinabalu,Sabah,16931
IDN,Terminal Feri Minyak Beku,Johor,16912
IRL,LTA Kuala Lumpur Terminal 1,Selangor,16851
LAO,Bukit Kayu Hitam,Kedah,16200
THA,LTA Sultan Ismail Senai,Johor,15946
IND,LTA Langkawi,Kedah,15899
DNK,LTA Kuala Lumpur Terminal 1,Selangor,15789
SWE,LTA Kuala Lumpur Terminal 1,Selangor,15648
JOR,LTA Kuala Lumpur Terminal 1,Selangor,15264
KWT,LTA Kuala Lumpur Terminal 1,Selangor,15246
ZAF,LTA Kuala Lumpur Terminal 1,Selangor,15180
DZA,LTA Kuala Lumpur Terminal 1,Selangor,14169
LKA,Bangunan Sultan Iskandar,Johor,14147
BRN,LTA Kota Kinabalu,Sabah,14126
CAN,Gelang Patah,Johor,13804
POL,LTA Kuala Lumpur Terminal 1,Selangor,13788
SYR,LTA Kuala Lumpur Terminal 1,Selangor,13508
PAK,LTA Kuala Lumpur Terminal 2,Selangor,13298
CHN,LTA Langkawi,Kedah,13278
DEU,LTA Bayan Lepas,Pulau_Pinang,13161
MAR,LTA Kuala Lumpur Terminal 1,Selangor,12962
CHN,Woodlands Train Checkpoint,Singapore,12710
KAZ,LTA Kuala Lumpur Terminal 1,Selangor,12528
IDN,LT Batu Berendam,Melaka,12526
SGP,Pejabat Imigresen Desaru Coast,Johor,12454
IND,Sungai Tujuh,Sarawak,12202
GBR,Sungai Tujuh,Sarawak,12182
SGP,LT Miri,Sarawak,12073
CAN,Bangunan Sultan Iskandar,Johor,11924
NLD,Gelang Patah,Johor,11713
KHM,Padang Besar,Perlis,11622
GBR,LTA Langkawi,Kedah,11567
SAU,LTA Kuala Lumpur Terminal 2,Selangor,11314
POL,LTA Kuala Lumpur Terminal 2,Selangor,11076
PHL,LTA Bayan Lepas,Pulau_Pinang,10927
PHL,Tedungan,Sarawak,10920
AUT,LTA Kuala Lumpur Terminal 1,Selangor,10878
KOR,LTA Sultan Ismail Senai,Johor,10839
UKR,LTA Kuala Lumpur Terminal 1,Selangor,10722
NGA,LTA Kuala Lumpur Terminal 1,Selangor,10598
UKR,LTA Kuala Lumpur Terminal 2,Selangor,10177
ARE,LTA Kuala Lumpur Terminal 1,Selangor,10175
IDN,Tedungan,Sarawak,10167
