qtr,arrivals_idx,gdp_idx
2020-01-01,100.0,100.0
2020-04-01,0.7310939560738823,84.33258870289245
2020-07-01,1.0895821074365115,102.1604920363225
2020-10-01,1.2968025269429984,104.07496591139864
2021-01-01,1.864699751763203,99.77439989555833
2021-04-01,1.7195301778623835,98.10559633293684
2021-07-01,1.6374138864913939,97.89123009080623
2021-10-01,2.6401181271671437,107.74554266152194
2022-01-01,3.9724403357896376,104.82891554730338
2022-04-01,50.6391537828461,107.1771539644318
2022-07-01,90.3604328789955,112.22254924714963
2022-10-01,108.11843591771597,115.73272447706636
2023-01-01,111.44393687721517,110.78272447706634
2023-04-01,118.59256519265,110.03694101946677
2023-07-01,137.83028208240898,115.68893759610086
2023-10-01,88.87351818938505,119.01445356697322
