qtr,tourism_growth,gdp_growth
2020-01-01,,-6.979317342775104
2020-04-01,-99.26890604392612,-15.667411297107547
2020-07-01,49.03448433465116,21.139992982118173
2020-10-01,19.01833905789989,1.8739865450094761
2021-01-01,43.792112755897406,-4.132181046786487
2021-04-01,-7.785144700295676,-1.672576897849909
2021-07-01,-4.775507428027326,-0.21850562062037948
2021-10-01,61.237067118339695,10.066593873194375
2022-01-01,50.464492285884255,-2.7069584895785703
2022-04-01,1174.7618466818356,2.240067451683969
2022-07-01,78.4398555838524,4.707528699999064
2022-10-01,19.6524103226694,3.1278698028737617
2023-01-01,3.0757945499970907,-4.277096233901334
2023-04-01,6.4145511328363325,-0.6731947251883752
2023-07-01,16.221688820465197,5.1364537438696845
2023-10-01,-35.51959928787826,2.8745323796494526
